customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,network_quality,complaint_text,Churn
PKTLC-E33003,Male,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.81,374.99,0,Bundle value is good. Happy with the current plan I am on.,No
PKTLC-F31BF1,Female,1,No,No,46,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,71.51,3355.61,1,"Bahut slow internet hai, 4G pe bhi YouTube buffer karta hai.",Yes
PKTLC-C441B3,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),82.22,401.0,2,Support team was helpful and resolved my issue quickly.,No
PKTLC-819083,Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.36,264.38,2,Network is stable but getting complaints resolved takes too long.,Yes
PKTLC-9E30AF,Male,0,Yes,Yes,33,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),85.49,2626.96,1,Service is generally fine. Minor issues occur occasionally.,Yes
PKTLC-DECCB4,Female,0,No,No,1,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),53.94,51.77,1,Speed is reasonable during the day. Slightly slow in late evenings.,Yes
PKTLC-DA3212,Male,0,No,No,59,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),80.06,4895.23,1,,No
PKTLC-E7FB9E,Male,0,No,No,1,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,53.66,48.12,1,"Speed is okay, could be better but manageable for daily use.",Yes
PKTLC-F2ECFA,Male,0,Yes,Yes,18,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),58.46,1079.28,1,Reasonable price for the data allowance provided. Mostly satisfied.,No
PKTLC-64C934,Female,1,No,No,16,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,85.75,1410.57,2,Mostly satisfied but had one bad experience with unexpected overcharging.,No
PKTLC-4E35F4,Male,0,No,No,20,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,63.73,1355.18,1,Constantly losing 4G signal and reverting to EDGE. Very disappointing.,Yes
PKTLC-6C5096,Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.88,414.11,0,Bundle value is good. Happy with the current plan I am on.,No
PKTLC-50B3B3,Male,0,No,No,38,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,97.41,3428.0,2,,No
PKTLC-AA8CA8,Female,0,Yes,No,70,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),82.69,5752.58,2,Support resolved my query within a reasonable amount of time.,No
PKTLC-66EDF9,Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.05,655.45,0,Coverage in my area is fine but pricing has increased a bit recently.,No
PKTLC-8B90C4,Male,1,No,No,64,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),52.66,3497.97,1,"Called helpline four times today, each time told to call back later.",No
PKTLC-901CFE,Male,1,Yes,No,10,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),58.2,612.65,1,Overall satisfied with the service. No major issues at this point.,No
PKTLC-3C4F9C,Female,0,Yes,Yes,12,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,54.56,610.3,1,Coverage in my area is fine but pricing has increased a bit recently.,No
PKTLC-0DABD0,Female,0,Yes,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,544.92,0,,No
PKTLC-9E6B28,Male,0,Yes,Yes,20,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,90.91,1764.76,1,,No
PKTLC-DC7A10,Male,1,No,Yes,3,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.53,154.88,1,Very poor after-sales support. Will seriously consider switching soon.,Yes
PKTLC-37A3ED,Male,0,No,Yes,18,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,85.89,1513.93,2,Network is okay but billing process is confusing and lacks transparency.,No
PKTLC-8C3427,Male,0,No,No,13,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.01,567.57,1,Support resolved my query within a reasonable amount of time.,No
PKTLC-48E51B,Male,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),66.05,178.06,2,Agent could not understand my issue and ended up disconnecting the call.,Yes
PKTLC-59571E,Male,1,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),87.18,2000.15,2,Network is decent in my area. No major complaints so far.,No
PKTLC-408436,Female,1,No,No,3,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,77.54,227.53,2,Service is generally fine. Minor issues occur occasionally.,No
PKTLC-734ACA,Male,1,No,No,5,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),83.26,402.27,2,,No
PKTLC-A40501,Female,0,No,No,51,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,79.78,4065.1,2,Extra charges deducted without my consent. Refund nahi mila abhi tak.,No
PKTLC-C97A09,Female,0,No,No,7,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),56.51,361.84,1,No network in my basement office. Cannot attend calls while at work.,No
PKTLC-A57771,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,85.56,156.24,2,Mostly satisfied but had one bad experience with unexpected overcharging.,Yes
PKTLC-6707E5,Male,0,No,Yes,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,83.25,437.23,2,Generally happy but the recent bill increase was unexpected.,Yes
PKTLC-2491A1,Female,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,947.23,0,Speed is decent but customer support response time needs improvement.,No
PKTLC-2BB634,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),73.07,4066.35,2,Network is decent in my area. No major complaints so far.,No
PKTLC-CC2E95,Female,0,No,No,22,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),65.06,1504.37,1,Price is fair but I wish the app was more user friendly.,No
PKTLC-E3D10C,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.98,3432.52,2,,No
PKTLC-33A609,Male,1,Yes,Yes,33,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,79.38,2470.13,2,Support team was helpful and resolved my issue quickly.,No
PKTLC-01757D,Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.04,2366.75,2,Auto-renewal charged me even after I submitted a cancellation request.,Yes
PKTLC-96E610,Female,0,Yes,Yes,3,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),55.93,175.76,1,Internet speed is terrible. Cannot even use WhatsApp properly.,No
PKTLC-280F15,Female,0,No,No,11,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,53.28,594.26,1,The promised discount was never applied to my account.,Yes
PKTLC-0818E2,Male,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,39.33,34.15,1,No network in my basement office. Cannot attend calls while at work.,Yes
PKTLC-B442CB,Female,0,No,No,41,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),96.51,4027.72,2,Network is stable but getting complaints resolved takes too long.,No
PKTLC-870396,Female,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),79.88,1464.46,2,Support team was helpful and resolved my issue quickly.,No
PKTLC-5745AF,Female,0,No,No,49,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,79.62,3905.48,2,Network is decent in my area. No major complaints so far.,No
PKTLC-95F8A7,Male,1,No,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),80.62,3285.47,2,Problem not resolved even after visiting the franchise office twice.,No
PKTLC-6BBDCD,Female,0,No,No,36,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),106.22,3934.38,2,"Connectivity issues ongoing since last week, no resolution from support.",No
PKTLC-CA3F1C,Male,0,Yes,Yes,63,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),72.43,4568.93,1,,No
PKTLC-5B0ECD,Female,0,Yes,Yes,68,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Mailed check,59.18,3906.79,1,Signal completely disappears during rain. This is not acceptable.,Yes
PKTLC-26E96D,Male,0,No,No,51,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),77.52,3819.82,1,Data speed is fine during the day but slows down during peak evening hours.,No
PKTLC-B8CC61,Female,0,Yes,No,24,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,69.75,1571.29,1,Speed is reasonable during the day. Slightly slow in late evenings.,No
PKTLC-2F3435,Female,1,Yes,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,117.09,0,Invoice received does not match what I was quoted by the sales agent.,Yes
PKTLC-0B084E,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,104.75,3511.09,2,Download speed never exceeds 1 Mbps even at off-peak hours.,Yes
PKTLC-D69C12,Female,1,Yes,No,28,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,67.04,1848.04,1,No network in my basement office. Cannot attend calls while at work.,Yes
PKTLC-5A8B63,Male,0,Yes,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.68,617.57,0,Auto-renewal charged me even after I submitted a cancellation request.,No
PKTLC-12CE02,Male,1,No,No,57,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),52.5,2987.11,1,Happy with the new fiber package. Speed is much better than before.,No
PKTLC-DBD0BF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),90.02,1012.95,2,Generally happy but the recent bill increase was unexpected.,No
PKTLC-1AADBE,Female,0,Yes,No,10,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Mailed check,83.01,798.57,2,Support team was helpful and resolved my issue quickly.,No
PKTLC-0FACE0,Male,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),21.2,266.71,0,Connection is stable most of the time. Acceptable for the price.,No
PKTLC-E33192,Male,0,No,No,36,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,74.43,2799.04,1,Service has improved compared to last year. Good progress overall.,No
PKTLC-1F1FEF,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),62.58,420.2,1,No complaints at the moment. Service is working as expected.,No
PKTLC-ECCA10,Male,1,No,No,24,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,74.66,1841.54,2,,No
PKTLC-B37E4D,Female,0,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),79.33,378.32,2,"Coverage is pathetic in Gulshan, signal drops to zero at night.",Yes
PKTLC-9F515A,Female,1,No,No,54,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,73.62,3825.76,2,Network quality is consistently good. No call drops in my area.,No
PKTLC-AEA795,Female,0,Yes,No,21,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.31,1734.27,1,Overall satisfied with the service. No major issues at this point.,No
PKTLC-BFB6A2,Male,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.0,900.98,0,Overall satisfied with the service. No major issues at this point.,No
PKTLC-8C7E34,Female,0,Yes,No,17,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.67,1116.6,1,Happy with the new fiber package. Speed is much better than before.,No
PKTLC-4BB306,Female,0,No,No,48,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),56.51,2642.2,1,Service has improved compared to last year. Good progress overall.,Yes
PKTLC-C11920,Female,0,No,No,9,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Mailed check,94.87,886.2,2,Decent coverage in my city. Occasional slow speed on weekends.,No
PKTLC-5F6368,Male,0,No,Yes,26,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,56.04,1360.22,1,Service is generally fine. Minor issues occur occasionally.,No
PKTLC-0D659E,Male,0,Yes,No,27,Yes,No,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,53.79,1452.62,1,Speed is reasonable during the day. Slightly slow in late evenings.,No
PKTLC-F3F978,Male,0,Yes,No,64,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,58.81,3565.4,1,Coverage in my area is fine but pricing has increased a bit recently.,No
PKTLC-C3405C,Female,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,74.62,1171.37,2,Network is okay but billing process is confusing and lacks transparency.,No
PKTLC-92765C,Male,0,Yes,No,32,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,84.55,2559.45,1,Reasonable price for the data allowance provided. Mostly satisfied.,No
PKTLC-B085ED,Male,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),80.16,1158.74,2,Support team was helpful and resolved my issue quickly.,Yes
PKTLC-82C527,Female,0,Yes,Yes,25,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),62.85,1577.08,1,Double deduction happened on the 5th of this month. No explanation given.,No
PKTLC-A80133,Male,0,No,No,21,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),59.45,1156.98,1,"Connectivity issues ongoing since last week, no resolution from support.",Yes
PKTLC-8CA8EB,Male,0,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,80.57,1077.81,2,Support team was helpful and resolved my issue quickly.,No
PKTLC-444864,Female,1,Yes,No,20,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),60.57,1190.44,1,Service is generally fine. Minor issues occur occasionally.,No
PKTLC-515427,Female,0,No,No,7,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),71.96,474.12,1,Happy with the new fiber package. Speed is much better than before.,No
PKTLC-7778F3,Female,0,Yes,Yes,7,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,45.93,324.61,1,,No
PKTLC-881D8D,Male,0,No,Yes,12,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,63.72,806.8,1,Repeated disconnections during video calls. Signal is completely useless.,Yes
PKTLC-47BBB9,Female,0,No,No,67,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),63.52,4219.53,1,Very poor after-sales support. Will seriously consider switching soon.,Yes
PKTLC-927347,Male,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),84.76,409.56,2,Support resolved my query within a reasonable amount of time.,No
PKTLC-5A54B6,Female,0,Yes,No,3,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),78.75,235.42,2,Signal completely disappears during rain. This is not acceptable.,No
PKTLC-20DA8D,Male,0,No,Yes,56,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),102.44,5449.33,2,Speed is reasonable during the day. Slightly slow in late evenings.,No
PKTLC-5F0778,Female,0,Yes,Yes,57,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,93.35,5268.9,2,"Bahut slow internet hai, 4G pe bhi YouTube buffer karta hai.",No
PKTLC-C9CAFB,Female,0,Yes,Yes,33,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,90.19,3100.67,2,Constantly losing 4G signal and reverting to EDGE. Very disappointing.,Yes
PKTLC-4F0380,Male,0,Yes,No,48,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,47.47,2188.26,1,Generally happy but the recent bill increase was unexpected.,No
PKTLC-F5A212,Female,0,Yes,Yes,45,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,81.13,3597.55,1,Data speed is fine during the day but slows down during peak evening hours.,No
PKTLC-37B989,Female,1,No,No,39,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Electronic check,42.29,1517.8,1,Bill amount is much higher than what was promised at the time of joining.,Yes
PKTLC-A79945,Male,0,No,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),91.8,574.71,2,Network is decent in my area. No major complaints so far.,No
PKTLC-602000,Male,0,Yes,No,3,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),64.39,190.68,1,Decent coverage in my city. Occasional slow speed on weekends.,No
PKTLC-BE2DEC,Female,0,No,No,50,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,88.06,4583.9,2,Service quality is acceptable but the billing statement is hard to read.,No
PKTLC-A7720B,Female,1,No,Yes,69,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,74.67,4818.36,2,No callback received after submitting the complaint through the app.,Yes
PKTLC-D8EE32,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.0,471.96,0,Support team was helpful and resolved my issue quickly.,No
PKTLC-87F132,Male,0,Yes,No,72,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),46.72,3183.79,1,Speed is reasonable during the day. Slightly slow in late evenings.,No
PKTLC-73C7B0,Male,0,No,No,7,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,50.61,347.59,1,Internet speed is average. Support team could use better training.,Yes
PKTLC-5DE373,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.84,994.52,0,Connection is stable most of the time. Acceptable for the price.,No
PKTLC-34A5CF,Female,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),23.21,842.8,0,Bundle value is good. Happy with the current plan I am on.,No
PKTLC-0E4337,Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,99.15,2845.56,2,Reasonable price for the data allowance provided. Mostly satisfied.,No
PKTLC-FCF7ED,Male,0,No,Yes,23,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.61,2027.26,2,,No
PKTLC-6707B6,Male,1,No,No,5,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),61.32,324.49,1,Service has improved compared to last year. Good progress overall.,No
PKTLC-E2BC2C,Female,0,Yes,No,18,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),60.64,1108.56,1,"Bahut slow internet hai, 4G pe bhi YouTube buffer karta hai.",No
PKTLC-1C5633,Male,0,No,Yes,26,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,66.96,1711.63,2,"Connectivity issues ongoing since last week, no resolution from support.",No
PKTLC-16F73E,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.32,1180.69,0,,No
PKTLC-898A86,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.22,1450.63,0,Decent coverage in my city. Occasional slow speed on weekends.,No
PKTLC-BE7013,Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.1,872.43,0,Data speed is fine during the day but slows down during peak evening hours.,No
PKTLC-E07788,Female,0,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,85.26,1065.13,2,No network in my basement office. Cannot attend calls while at work.,Yes
PKTLC-664996,Male,0,No,Yes,43,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,38.57,1667.09,1,Connection is stable most of the time. Acceptable for the price.,No
PKTLC-037777,Male,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,91.3,5072.36,2,,No
PKTLC-4F5A20,Female,1,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.29,83.41,0,Reasonable price for the data allowance provided. Mostly satisfied.,No
PKTLC-BDAA07,Male,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.97,49.37,0,Service is generally fine. Minor issues occur occasionally.,No
PKTLC-716A81,Female,0,No,No,37,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),61.37,2135.84,1,Reasonable price for the data allowance provided. Mostly satisfied.,No
PKTLC-C3D13D,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),83.5,2823.82,2,Data rollover feature is very useful. Good value overall.,No
PKTLC-9DF2A5,Male,0,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.91,1385.42,0,Support resolved my query within a reasonable amount of time.,No
PKTLC-715541,Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),85.7,4732.73,2,Hidden charges on my bill that were never disclosed during signup.,No
PKTLC-8A9BFA,Female,0,No,No,56,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),87.11,4779.67,2,Network is stable but getting complaints resolved takes too long.,No
PKTLC-232EFB,Female,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.52,792.14,0,Decent coverage in my city. Occasional slow speed on weekends.,No
PKTLC-828895,Male,0,Yes,Yes,46,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,61.75,2702.29,1,Balance deducted automatically without activating any service.,No
